Date,Revenue,Quantity,Orders,Customers
2010-06-29,34957.49,20923,71,56
2010-06-30,34611.66,21040,79,67
2010-07-01,30179.58,16493,85,80
2010-07-02,16841.17,8709,47,36
2010-07-04,10376.29,5302,21,20
2010-07-05,32789.4,16630,85,65
2010-07-06,23500.04,11962,58,47
2010-07-07,32201.52,14692,77,56
2010-07-08,20254.39,11756,70,58
2010-07-09,37263.04,14072,30,23
2010-07-11,7784.95,5806,28,24
2010-07-12,19727.37,9721,50,38
2010-07-13,21011.75,10045,55,38
2010-07-14,23775.72,13384,62,47
2010-07-15,56511.97,27819,80,64
2010-07-16,22593.19,14312,68,56
2010-07-18,15149.84,9646,40,37
2010-07-19,30532.75,18535,59,54
2010-07-20,24760.27,12099,57,48
2010-07-21,22367.31,13174,55,42
2010-07-22,26809.3,13939,78,57
2010-07-23,25865.97,13371,48,37
2010-07-25,17230.6,11531,54,51
2010-07-26,25092.38,15011,62,47
2010-07-27,28462.87,14315,70,56
2010-07-28,23308.12,13365,65,60
2010-07-29,38300.82,13763,72,60
2010-07-30,16119.66,8443,53,39
2010-08-01,30637.95,9702,32,27
2010-08-02,28908.78,11871,63,49
2010-08-03,26918.11,16330,59,47
2010-08-04,21386.31,11740,53,47
2010-08-05,24406.15,16828,54,48
2010-08-06,15204.2,9923,45,31
2010-08-08,13962.51,8120,44,41
2010-08-09,31692.27,100224,51,41
2010-08-10,35749.67,20053,46,33
2010-08-11,23674.57,8197,46,35
2010-08-12,29023.06,18216,81,56
2010-08-13,37283.95,18159,55,34
2010-08-15,22161.18,17333,58,52
2010-08-16,20809.6,11080,39,32
2010-08-17,30377.13,18400,45,40
2010-08-18,37128.55,22851,58,47
2010-08-19,32973.66,22520,77,55
2010-08-20,25537.19,19177,59,49
2010-08-22,22677.010000000002,13884,60,51
2010-08-23,21891.58,13251,45,37
2010-08-24,27450.06,19081,61,53
2010-08-25,31651.98,17575,76,62
2010-08-26,35255.41,17607,80,64
2010-08-27,18128.99,7316,36,29
2010-08-29,14449.3,8766,39,36
2010-08-31,35912.74,14176,63,48
2010-09-01,23331.9,12910,43,35
2010-09-02,36441.07,21964,91,77
2010-09-03,37214.19,31223,60,49
2010-09-05,12286.710000000001,7222,35,35
2010-09-06,28770.4,16208,53,41
2010-09-07,27488.26,15746,51,45
2010-09-08,17601.46,10208,49,45
2010-09-09,25691.89,13200,67,59
2010-09-10,17604.47,10430,46,38
2010-09-12,15528.75,9278,48,46
2010-09-13,38362.18,28405,87,52
2010-09-14,21209.26,11384,63,56
2010-09-15,34799.62,21473,67,61
2010-09-16,40358.820999999996,14418,68,51
2010-09-17,21439.92,11843,52,41
2010-09-19,22895.33,13697,59,54
2010-09-20,43878.5,25067,82,59
2010-09-21,62499.11,37072,103,76
2010-09-22,30571.48,14626,83,39
2010-09-23,36202.41,21377,86,72
2010-09-24,50457.26,28035,67,45
2010-09-26,21751.15,13385,65,51
2010-09-27,118838.47,125489,95,69
2010-09-28,46361.4,23634,127,91
2010-09-29,38634.22,20736,99,83
2010-09-30,51478.76,24834,93,74
2010-10-01,38654.61,22213,71,55
2010-10-03,38474.71,20343,77,64
2010-10-04,39336.53,23529,84,72
2010-10-05,84825.58,34855,130,101
2010-10-06,30812.44,21884,63,58
2010-10-07,54313.44,30072,121,92
2010-10-08,60283.5,41441,78,58
2010-10-10,23146.51,12414,68,59
2010-10-11,43428.66,24913,91,78
2010-10-12,49933.33,29531,110,94
2010-10-13,57672.89,40097,86,74
2010-10-14,87417.94,37123,99,81
2010-10-15,54812.26,22350,117,80
2010-10-17,33093.14,18978,71,62
2010-10-18,41423.58,19725,104,90
2010-10-19,50020.090000000004,27244,78,65
2010-10-20,45639.82,24039,108,89
2010-10-21,39004.08,17798,96,76
2010-10-22,41053.29,23118,88,68
2010-10-24,28639.54,15445,83,74
2010-10-25,29434.97,14485,73,63
2010-10-26,45948.56,25974,104,85
2010-10-27,32925.5,16197,72,66
2010-10-28,34420.25,14298,63,52
2010-10-29,47226.31,25578,83,62
2010-10-31,29960.69,16352,83,79
2010-11-01,29540.88,14127,62,47
2010-11-02,44949.16,24166,91,79
2010-11-03,45352.54,23637,87,75
2010-11-04,89585.63,60269,132,104
2010-11-05,46566.95,22449,75,57
2010-11-07,31541.1,18428,82,75
2010-11-08,90826.501,32397,82,67
2010-11-09,66091.24,35361,121,99
2010-11-10,79992.41,35184,131,100
2010-11-11,64114.18,34397,129,99
2010-11-12,50806.23,23217,111,81
2010-11-14,28950.46,17295,90,76
2010-11-15,104910.96,37969,103,83
2010-11-16,72858.71,39307,108,95
2010-11-17,51468.871,28549,119,97
2010-11-18,44906.07,21366,104,91
2010-11-19,47814.41,25313,108,90
2010-11-21,32056.05,17985,96,89
2010-11-22,43155.91,19775,93,80
2010-11-23,58356.99,26947,132,112
2010-11-24,61666.06,28754,133,104
2010-11-25,72282.86,38054,153,133
2010-11-26,40403.51,17394,84,72
2010-11-28,27132.760000000002,16298,91,83
2010-11-29,79083.96,39991,107,89
2010-11-30,59878.74,26532,123,101
2010-12-01,58776.79,26818,127,95
2010-12-02,47629.42,31264,142,99
2010-12-03,46898.63,16158,68,50
2010-12-05,31364.63,16242,88,75
2010-12-06,54624.15,21619,102,82
2010-12-07,99553.85,25180,84,65
2010-12-08,45235.36,23041,116,99
2010-12-09,53548.19,19898,107,90
2010-12-10,59021.02,20973,77,53
2010-12-12,17125.65,10537,44,42
2010-12-13,37942.37,17701,70,59
2010-12-14,45167.56,20255,90,73
2010-12-15,30384.37,18453,74,66
2010-12-16,49114.14,29860,121,98
2010-12-17,45338.13,16935,66,51
2010-12-19,7410.47,3734,23,17
2010-12-20,26766.23,14914,61,41
2010-12-21,47279.89,15605,55,23
2010-12-22,6199.97,3080,17,13
2010-12-23,12071.91,5752,27,15
2011-01-04,16005.73,8630,36,34
2011-01-05,32630.27,19769,55,45
2011-01-06,40366.45,23124,50,45
2011-01-07,28836.59,17160,53,45
2011-01-09,15590.68,8125,48,48
2011-01-10,24553.07,12861,39,32
2011-01-11,68630.54,28437,58,47
2011-01-12,24664.579999999998,10606,45,42
2011-01-13,20612.79,10171,44,41
2011-01-14,47554.58,23139,47,37
2011-01-16,6976.39,4086,25,22
2011-01-17,29262.72,13375,51,45
2011-01-18,95947.73000000001,82964,41,31
2011-01-19,25874.57,17354,35,33
2011-01-20,21199.34,10475,39,30
2011-01-21,32636.55,15302,39,32
2011-01-23,10306.1,5200,27,27
2011-01-24,25494.49,11955,53,43
2011-01-25,28952.55,15538,67,57
2011-01-26,19855.92,10931,56,49
2011-01-27,23624.3,11266,52,50
2011-01-28,20064.35,9842,40,36
2011-01-30,6542.61,3383,24,22
2011-01-31,23628.71,13406,62,50
2011-02-01,29013.29,15814,63,57
2011-02-02,21162.12,9706,63,55
2011-02-03,23467.73,15712,46,44
2011-02-04,25135.84,12695,52,41
2011-02-06,3439.67,2036,11,11
2011-02-07,25922.97,9128,42,35
2011-02-08,20935.23,10100,45,37
2011-02-09,16682.63,7164,29,22
2011-02-10,14853.31,11876,41,39
2011-02-11,22853.6,10520,45,34
2011-02-13,5645.48,2723,20,20
2011-02-14,26668.91,13567,42,36
2011-02-15,39841.71,22669,58,47
2011-02-16,24863.85,16117,63,56
2011-02-17,26357.52,14413,68,50
2011-02-18,16184.42,9149,39,34
2011-02-20,9437.8,5218,26,26
2011-02-21,36311.4,21533,38,31
2011-02-22,32454.5,21893,52,47
2011-02-23,26859.5,13742,63,49
2011-02-24,22800.89,11891,55,52
2011-02-25,20595.19,10572,49,42
2011-02-27,9382.71,4823,33,31
2011-02-28,21675.29,9873,57,49
2011-03-01,26344.68,12137,62,52
2011-03-02,18669.94,8612,43,40
2011-03-03,36367.14,20075,49,46
2011-03-04,19486.88,13560,49,38
2011-03-06,9959.62,5027,27,24
2011-03-07,32318.72,14006,68,49
2011-03-08,25035.12,14537,48,41
2011-03-09,22013.2,11861,53,47
2011-03-10,26118.27,15583,57,46
2011-03-11,25473.93,10521,53,42
2011-03-13,4117.22,2733,16,16
2011-03-14,25876.63,16737,50,41
2011-03-15,23453.34,8941,52,40
2011-03-16,21842.81,12883,52,46
2011-03-17,39852.51,20975,62,51
2011-03-18,28107.65,13938,64,48
2011-03-20,21949.68,14038,60,56
2011-03-21,16679.47,10292,53,47
2011-03-22,31468.23,16548,53,40
2011-03-23,24078.89,14374,63,55
2011-03-24,36496.79,18164,68,63
2011-03-25,31362.56,14083,56,45
2011-03-27,9206.72,4496,32,31
2011-03-28,23133.23,12222,61,52
2011-03-29,70711.92,32803,62,46
2011-03-30,31821.71,20621,75,63
2011-03-31,34268.4,16832,66,57
2011-04-01,25565.64,18459,75,59
2011-04-03,6897.18,5658,20,18
2011-04-04,33234.48,14004,59,49
2011-04-05,30052.82,15558,52,45
2011-04-06,17338.36,9156,40,36
2011-04-07,18465.44,10508,64,57
2011-04-08,25240.59,12985,71,63
2011-04-10,9879.75,5603,32,31
2011-04-11,22345.93,13632,64,54
2011-04-12,25534.94,15311,62,54
2011-04-13,24450.27,18752,60,54
2011-04-14,36084.1,18858,86,75
2011-04-15,28311.821,12717,56,40
2011-04-17,12630.34,8136,42,39
2011-04-18,55983.99,29825,69,56
2011-04-19,24296.85,14461,59,52
2011-04-20,28667.32,18371,63,58
2011-04-21,32582.2,18210,77,64
2011-04-26,30999.88,16135,71,55
2011-04-27,25916.15,18218,65,56
2011-04-28,22490.44,13396,59,49
2011-05-01,6958.11,3814,18,18
2011-05-03,35196.21,12454,66,50
2011-05-04,27521.96,17363,65,55
2011-05-05,29133.41,17436,89,76
2011-05-06,36122.98,19945,82,64
2011-05-08,18731.98,10621,63,58
2011-05-09,27883.46,13354,71,59
2011-05-10,47756.53,19784,96,63
2011-05-11,33647.85,18894,80,56
2011-05-12,61829.27,37774,86,68
2011-05-13,30679.84,15217,73,52
2011-05-15,9911.38,4895,31,29
2011-05-16,39651.28,16019,68,52
2011-05-17,55106.99,26769,82,56
2011-05-18,34376.26,19013,73,62
2011-05-19,35567.71,18124,99,82
2011-05-20,26579.95,15348,71,58
2011-05-22,24102.0,12645,61,57
2011-05-23,34610.64,18169,68,55
2011-05-24,37658.39,15936,68,53
2011-05-25,24393.9,13163,65,52
2011-05-26,33497.03,16264,64,50
2011-05-27,28387.93,16209,64,49
2011-05-29,7338.9400000000005,4067,24,20
2011-05-31,22652.61,11724,54,48
2011-06-01,20585.19,10965,42,35
2011-06-02,32800.49,14586,52,33
2011-06-03,16895.1,7679,44,37
2011-06-05,25423.760000000002,13397,67,62
2011-06-06,17767.12,9459,57,54
2011-06-07,37857.31,18731,78,68
2011-06-08,43194.43,21260,99,71
2011-06-09,46341.52,28265,85,76
2011-06-10,62234.44,10669,50,41
2011-06-12,12441.94,9457,39,38
2011-06-13,22434.76,11291,59,49
2011-06-14,40447.53,14602,57,42
2011-06-15,48974.63,30381,59,42
2011-06-16,34529.01,20272,83,74
2011-06-17,21070.47,11753,52,35
2011-06-19,22421.48,15069,60,57
2011-06-20,37489.24,16599,74,49
2011-06-21,24752.87,14183,55,45
2011-06-22,21799.32,15818,60,55
2011-06-23,25155.63,14670,72,64
2011-06-24,19516.29,9981,51,40
2011-06-26,7032.36,3760,26,24
2011-06-27,16985.31,9898,45,31
2011-06-28,35545.83,21747,55,41
2011-06-29,22087.47,12070,42,36
2011-06-30,44763.51,21949,70,55
2011-07-01,13632.210000000001,7641,49,35
2011-07-03,5972.7300000000005,3091,25,24
2011-07-04,44609.03,15698,52,32
2011-07-05,40754.68,22092,73,58
2011-07-06,26361.28,19165,70,61
2011-07-07,32412.43,19141,76,67
2011-07-08,27057.35,12707,65,42
2011-07-10,5959.54,4204,24,20
2011-07-11,22529.66,15106,52,43
2011-07-12,26252.85,13954,53,41
2011-07-13,22620.61,16267,59,50
2011-07-14,33560.26,17524,71,61
2011-07-15,14793.83,7310,42,34
2011-07-17,17154.26,11019,51,45
2011-07-18,38814.88,15098,65,45
2011-07-19,50166.76,29168,67,57
2011-07-20,33252.33,17676,58,47
2011-07-21,32695.77,19907,76,59
2011-07-22,20119.97,10270,43,34
2011-07-24,27080.46,17661,58,53
2011-07-25,26876.39,16095,59,49
2011-07-26,21635.561,13709,53,44
2011-07-27,25593.74,13962,48,39
2011-07-28,56243.32,30256,80,68
2011-07-29,18716.54,11559,64,57
2011-07-31,33209.68,19413,42,37
2011-08-01,21358.64,11669,40,35
2011-08-02,26575.55,15718,44,39
2011-08-03,28068.2,16499,64,59
2011-08-04,65496.79,41143,82,76
2011-08-05,21417.13,12750,55,47
2011-08-07,7543.86,5175,30,28
2011-08-08,23363.01,13336,40,38
2011-08-09,27672.24,16258,42,38
2011-08-10,28780.05,14414,49,42
2011-08-11,72372.89,39228,69,58
2011-08-12,32231.35,11978,51,40
2011-08-14,5701.87,3172,25,21
2011-08-15,17235.95,10173,48,46
2011-08-16,19234.53,11184,53,44
2011-08-17,53284.76,25649,54,45
2011-08-18,54059.1,34028,69,64
2011-08-19,17336.07,10664,56,54
2011-08-21,14420.27,8081,39,36
2011-08-22,29645.54,15542,65,57
2011-08-23,25978.59,15172,64,56
2011-08-24,48789.72,29360,76,59
2011-08-25,23773.43,13316,74,68
2011-08-26,25610.29,17125,47,41
2011-08-28,10686.56,6701,37,36
2011-08-30,31837.77,10236,41,23
2011-08-31,25367.22,12449,47,39
2011-09-01,37358.62,27850,76,69
2011-09-02,42226.28,18433,74,58
2011-09-04,17040.74,10920,50,45
2011-09-05,36898.35,22742,68,57
2011-09-06,28321.06,15070,64,54
2011-09-07,34413.53,16390,52,42
2011-09-08,27055.88,17404,76,63
2011-09-09,30016.33,17358,62,52
2011-09-11,35206.92,20906,75,68
2011-09-12,29526.29,16824,68,62
2011-09-13,55071.3,36519,67,61
2011-09-14,23578.78,14186,68,58
2011-09-15,78151.97,29281,83,70
2011-09-16,27720.27,15051,50,44
2011-09-18,15639.55,8937,27,25
2011-09-19,49250.87,29248,71,63
2011-09-20,109553.9,43683,70,53
2011-09-21,48529.72,22312,75,65
2011-09-22,59220.41,33144,112,94
2011-09-23,40574.4,21872,64,56
2011-09-25,31164.781,19424,75,74
2011-09-26,29270.841,15249,66,62
2011-09-27,36260.91,21231,80,67
2011-09-28,43693.08,25530,85,72
2011-09-29,46343.35,27456,105,93
2011-09-30,44347.06,22553,74,60
2011-10-02,11531.56,8332,35,32
2011-10-03,66243.94,25942,68,48
2011-10-04,48652.54,25284,81,65
2011-10-05,75460.77,46222,96,82
2011-10-06,62761.92,35367,122,98
2011-10-07,53692.5,30914,88,74
2011-10-09,12273.1,7285,39,35
2011-10-10,48121.66,26121,100,83
2011-10-11,52537.31,28477,82,69
2011-10-12,32083.11,17639,88,73
2011-10-13,37232.47,18681,77,67
2011-10-14,36294.58,18134,74,61
2011-10-16,21767.94,8649,35,32
2011-10-17,51925.61,31319,89,76
2011-10-18,45277.92,29285,84,73
2011-10-19,42467.72,19178,85,71
2011-10-20,60969.14,40855,89,76
2011-10-21,63173.39,24779,64,56
2011-10-23,12156.57,6953,42,39
2011-10-24,48335.52,25922,78,61
2011-10-25,41192.55,26818,77,65
2011-10-26,37729.47,20617,95,77
2011-10-27,57201.78,32761,106,91
2011-10-28,40455.26,23998,78,60
2011-10-30,34397.95,19943,96,88
2011-10-31,57327.45,21554,72,61
2011-11-01,29091.9,16546,77,74
2011-11-02,45690.08,28488,85,79
2011-11-03,63425.47,34314,103,86
2011-11-04,62594.590000000004,35144,94,73
2011-11-06,42513.590000000004,23089,102,88
2011-11-07,85705.3,31299,93,81
2011-11-08,57557.03,26366,108,95
2011-11-09,65879.97,38139,119,101
2011-11-10,70868.0,38079,129,112
2011-11-11,55107.87,28967,105,87
2011-11-13,33878.15,20686,87,75
2011-11-14,114237.40000000001,47236,107,93
2011-11-15,60613.8,30318,108,93
2011-11-16,65672.53,32955,130,111
2011-11-17,60901.32,31596,137,125
2011-11-18,51130.39,23921,108,98
2011-11-20,34509.21,19107,100,91
2011-11-21,49674.6,25705,100,85
2011-11-22,63863.48,35367,135,120
2011-11-23,79847.0,39295,131,107
2011-11-24,50759.21,26396,113,98
2011-11-25,50690.4,18923,83,69
2011-11-27,20279.37,10942,57,51
2011-11-28,56965.73,29334,115,97
2011-11-29,72384.82,30809,135,109
2011-11-30,60025.57,28356,108,92
2011-12-01,52068.63,27004,121,111
2011-12-02,57476.48,28690,120,95
2011-12-04,24477.47,12296,66,58
2011-12-05,88620.84,44497,127,105
2011-12-06,56558.83,30377,115,103
2011-12-07,75315.55,41789,106,94
2011-12-08,82371.55,35010,120,105
2011-12-09,200918.97999999998,93950,44,35
